method,final_return,coverage_distance,collision_rate
ippo,-83.9271205347415,0.8868084749082724,0.031786666666666664
llm_guided_ippo,-83.9930907651214,0.888400811523199,0.03181333333333333
mappo,-84.21726947110126,0.8948409983515739,0.03146666666666667
